,country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
132,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
133,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
134,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
135,CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
136,CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
137,CHN,2020,18275201.0,0.0,26519807.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
138,CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
139,CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
140,CHN,2020,18275201.0,0.0,26519807.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
141,CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
142,CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
143,CHN,2020,18275201.0,0.0,26519807.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
144,CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
145,CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
146,CHN,2020,18275201.0,0.0,149752.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
147,CHN,2020,18275201.0,0.0,149752.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
148,CHN,2020,18275201.0,0.0,149752.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
