country_code,year,paper_pulp_export_tonnes
ERI,2012,436
ERI,2011,436
ERI,2010,436
ERI,2009,436
ERI,2008,436
ERI,2007,436
ERI,2006,436
ERI,2005,436
ERI,2004,436
EST,2020,199129
EST,2019,186629
EST,2018,181417
EST,2017,184589
EST,2016,193309
EST,2015,173362
EST,2014,173511
EST,2013,138016
EST,2012,146399
EST,2011,143702
EST,2010,132832
EST,2009,133934
EST,2008,125385
EST,2007,126378
EST,2006,51344
EST,2005,0
EST,2004,0
EST,2003,0
EST,2002,0
EST,2001,0
EST,2000,110
EST,1999,28
EST,1998,2700
EST,1997,2000
EST,1996,0
EST,1995,6000
EST,1994,11000
EST,1993,581
EST,1992,251
SWZ,2020,956
SWZ,2019,938
SWZ,2018,0
SWZ,2017,0
SWZ,2016,0
SWZ,2015,0
SWZ,2014,0
SWZ,2013,0
SWZ,2012,0
SWZ,2011,0
SWZ,2010,14505
