country_code,year,paper_pulp_prod_tonnes
ECU,2001,2200
ECU,2000,2200
ECU,1999,2200
ECU,1998,2200
ECU,1997,2200
ECU,1996,2100
ECU,1995,2000
ECU,1994,1100
ECU,1990,500
ECU,1989,500
ECU,1988,500
ECU,1987,500
ECU,1986,500
ECU,1985,500
ECU,1984,5000
ECU,1983,5000
ECU,1982,5000
ECU,1981,5000
ECU,1980,5000
ECU,1979,5000
ECU,1978,8000
ECU,1977,7000
ECU,1976,6000
ECU,1975,6000
ECU,1974,5000
ECU,1973,4000
ECU,1972,4000
ECU,1971,4000
ECU,1970,2200
ECU,1969,1100
EGY,2020,161000
EGY,2019,161000
EGY,2018,161000
EGY,2017,161000
EGY,2016,161000
EGY,2015,161000
EGY,2014,161000
EGY,2013,161000
EGY,2012,161000
EGY,2011,161000
EGY,2010,161000
EGY,2009,161000
EGY,2008,161000
EGY,2007,161000
EGY,2006,120000
EGY,2005,120000
EGY,2004,120000
EGY,2003,120000
EGY,2002,120000
EGY,2001,120000
EGY,2000,75000
EGY,1999,60000
EGY,1998,60000
EGY,1997,60000
EGY,1996,60000
EGY,1995,60000
EGY,1994,60000
EGY,1993,47000
EGY,1992,47000
EGY,1991,47000
EGY,1990,80000
EGY,1989,80000
EGY,1988,80000
EGY,1987,80000
EGY,1986,80000
EGY,1985,80000
EGY,1984,80000
EGY,1983,80000
EGY,1982,80000
EGY,1981,80000
EGY,1980,91000
EGY,1979,85000
EGY,1978,46000
EGY,1977,37000
EGY,1976,37000
EGY,1975,47000
EGY,1974,80000
EGY,1973,80000
EGY,1972,70000
EGY,1971,67000
EGY,1970,54000
EGY,1969,53000
EGY,1968,52000
EGY,1967,44000
EGY,1966,40000
EGY,1965,30000
EGY,1964,23000
EGY,1963,21000
EGY,1962,20000
EGY,1961,2000
EST,2020,231000
EST,2019,222251
EST,2018,234956
EST,2017,239000
EST,2016,238626
EST,2015,233897
EST,2014,234765
EST,2013,223878
EST,2012,232859
EST,2011,220781
EST,2010,220775
EST,2009,199100
EST,2008,200225
EST,2007,190200
EST,2006,136300
EST,2005,67000
EST,2004,68600
EST,2003,67100
EST,2002,65300
EST,2001,51700
EST,2000,54000
EST,1999,49500
EST,1998,44000
EST,1997,36000
EST,1996,28200
EST,1995,13200
EST,1994,42200
EST,1993,42200
EST,1992,42200
SWZ,2020,0
SWZ,2019,0
SWZ,2018,0
SWZ,2017,0
SWZ,2016,0
SWZ,2015,0
SWZ,2014,0
SWZ,2013,0
SWZ,2012,0
SWZ,2011,0
SWZ,2010,15000
SWZ,2009,102000
SWZ,2008,142200
SWZ,2007,170400
SWZ,2006,160700
SWZ,2005,173200
SWZ,2004,180600
SWZ,2003,167700
SWZ,2002,186500
SWZ,2001,183900
SWZ,2000,154100
SWZ,1999,191000
SWZ,1998,150000
SWZ,1997,174000
SWZ,1996,220000
SWZ,1995,200000
SWZ,1994,200000
SWZ,1993,200000
SWZ,1992,183000
SWZ,1991,178000
SWZ,1990,130000
SWZ,1989,158000
SWZ,1988,178000
SWZ,1987,180000
SWZ,1986,180000
SWZ,1985,174000
SWZ,1984,178000
SWZ,1983,175000
SWZ,1982,157000
SWZ,1981,157000
SWZ,1980,156000
SWZ,1979,161000
SWZ,1978,155000
SWZ,1977,152000
SWZ,1976,180000
SWZ,1975,143000
SWZ,1974,143000
SWZ,1973,136000
SWZ,1972,125000
SWZ,1971,105000
SWZ,1970,101000
SWZ,1969,95000
SWZ,1968,90000
SWZ,1967,90000
SWZ,1966,89000
SWZ,1965,88000
SWZ,1964,88000
SWZ,1963,73000
SWZ,1962,9600
SWZ,1961,9600
ETH,2020,9400
ETH,2019,9400
ETH,2018,9400
ETH,2017,9400
ETH,2016,9400
ETH,2015,9400
ETH,2014,9400
ETH,2013,9400
ETH,2012,9400
ETH,2011,9400
ETH,2010,9400
ETH,2009,9400
ETH,2008,9400
ETH,2007,9400
ETH,2006,9400
ETH,2005,9400
ETH,2004,9400
ETH,2003,9400
ETH,2002,9400
ETH,2001,9400
ETH,2000,9400
ETH,1999,9400
ETH,1998,9400
ETH,1997,9700
FIN,2020,10120000
FIN,2019,11200000
FIN,2018,11660000
FIN,2017,10683000
